name,weight,type,domain
Citadel Investment Group LLC,4,Company,Banking
Lazard,4,Company,Banking
Bridgewater Associates,4,Company,Banking
Och-Ziff Capital Management Group LLC,4,Company,Banking
Bank of America Corp.,3,Company,Banking
UBS Investment Bank,3,Company,Banking
Warburg Pincus LLC,3,Company,Banking
"Greenhill & Co., Inc.",3,Company,Banking
Evercore Partners,3,Company,Banking
Accounting Clerk,1,Role,Accounting
Accounting Clerk Leader,1,Role,Accounting
Accounting Director,1,Role,Accounting
Accounting Manager,1,Role,Accounting
Accounting Supervisor,1,Role,Accounting
Accounting Vice President,1,Role,Accounting
Accounts Supervisor,1,Role,Accounting
Assistant Director of Finance,1,Role,Accounting
Assistant Director of Financial Operations,1,Role,Accounting
Audit Supervisor,1,Role,Accounting
Auditor,1,Role,Accounting
Bookkeeper,1,Role,Accounting
Budget Analyst,1,Role,Accounting
Budget Manager,1,Role,Accounting
Bursar,1,Role,Accounting
Certified Public Accountant,1,Role,Accounting
Chief Accounting Officer,1,Role,Accounting
Chief Financial Officer,1,Role,Accounting
Compliance Auditor,1,Role,Accounting
Contracts and Financial Compliance Manager,1,Role,Accounting
Controller,1,Role,Accounting
Corporate Accountant,1,Role,Accounting
Cost Accountant,1,Role,Accounting
Director of Financial Operations,1,Role,Accounting
Environmental Auditor,1,Role,Accounting
External Auditor,1,Role,Accounting
Financial Analyst,1,Role,Accounting
Financial Assurance Manager,1,Role,Accounting
Financial Assurance Specialist,1,Role,Accounting
Forensic Accountant,1,Role,Accounting
Gift Administration Specialist,1,Role,Accounting
Gift Assurance Officer,1,Role,Accounting
Government Accountant,1,Role,Accounting
Government Auditor,1,Role,Accounting
Grants and Contracts Assistant,1,Role,Accounting
Grants and Contracts Specialist,1,Role,Accounting
Industrial Accountant,1,Role,Accounting
Information Technology Audit Manager,1,Role,Accounting
Information Technology Auditor,1,Role,Accounting
Internal Auditor,1,Role,Accounting
Management Accountant,1,Role,Accounting
Managerial Accountant,1,Role,Accounting
Payroll Manager,1,Role,Accounting
Payroll Services Analyst,1,Role,Accounting
Private Accountant,1,Role,Accounting
Public Accountant,1,Role,Accounting
Revenue Cycle Administrator,1,Role,Accounting
Revenue Cycle Manager,1,Role,Accounting
Revenue Cycle Supervisor,1,Role,Accounting
Senior Auditor,1,Role,Accounting
Senior Budget Analyst,1,Role,Accounting
Senior Cash Management Analyst,1,Role,Accounting
Senior Financial Analyst,1,Role,Accounting
Senior General Audit Manager,1,Role,Accounting
Senior Gift Assurance Officer,1,Role,Accounting
Senior Grants and Contracts Specialist,1,Role,Accounting
Senior Strategic Planner,1,Role,Accounting
Staff Accountant,1,Role,Accounting
Staff Auditor,1,Role,Accounting
Strategic Planner,1,Role,Accounting
Strategic Planning and Institutional Analysis Manager,1,Role,Accounting
Strategic Program Planning Advisor,1,Role,Accounting
Tax Accountant,1,Role,Accounting
Tax Specialist,1,Role,Accounting
Actuary,1,Role,Business
Assessor,1,Role,Business
Benefits Officer,1,Role,Business
Branch Manager,1,Role,Business
Budget Analyst,1,Role,Business
Cash Manager,1,Role,Business
Certified Financial Planner,1,Role,Business
Chartered Wealth Manager,1,Role,Business
Chief Executive Officer,1,Role,Business
Chief Financial Officer,1,Role,Business
Claims Adjuster,1,Role,Business
Commercial Appraiser,1,Role,Business
Commercial Real Estate Agent,1,Role,Business
Commercial Real Estate Broker,1,Role,Business
Controller,1,Role,Business
Credit Analyst,1,Role,Business
Credit Manager,1,Role,Business
Damage Appraiser,1,Role,Business
Financial Analyst,1,Role,Business
Hedge Fund Manager,1,Role,Business
Hedge Fund Principal,1,Role,Business
Hedge Fund Trader,1,Role,Business
Insurance Adjuster,1,Role,Business
Insurance Agent,1,Role,Business
Insurance Appraiser,1,Role,Business
Insurance Broker,1,Role,Business
Insurance Claims Examiner,1,Role,Business
Insurance Investigator,1,Role,Business
Investment Advisor,1,Role,Business
Investment Banker,1,Role,Business
Investor Relations Officer,1,Role,Business
Leveraged Buyout Investor,1,Role,Business
Loan Officer,1,Role,Business
Loss Control Specialist,1,Role,Business
Mortgage Banker,1,Role,Business
Mutual Fund Analyst,1,Role,Business
Portfolio Management Marketing,1,Role,Business
Portfolio Manager,1,Role,Business
Ratings Analyst,1,Role,Business
Real Estate Appraiser,1,Role,Business
Real Estate Officer,1,Role,Business
Residential Appraiser,1,Role,Business
Residential Real Estate Agent,1,Role,Business
Residential Real Estate Broker,1,Role,Business
Risk Manager,1,Role,Business
Service Representative,1,Role,Business
Stockbroker,1,Role,Business
Treasurer,1,Role,Business
Trust Officer,1,Role,Business
Underwriter,1,Role,Business
Intern,1,Role,Any
Aerospace Engineer,1,Role,Engineering
Agricultural Engineer,1,Role,Engineering
Application Engineer,1,Role,Engineering
Automotive Engineer,1,Role,Engineering
Biological Engineer,1,Role,Engineering
Biomedical Engineer,1,Role,Engineering
Boiler Engineer,1,Role,Engineering
Ceramics Engineer,1,Role,Engineering
Chemical Engineer,1,Role,Engineering
Chief Engineer,1,Role,Engineering
Civil Engineer,1,Role,Engineering
Commissioning Engineer,1,Role,Engineering
Compliance Engineer,1,Role,Engineering
Component Engineer,1,Role,Engineering
Computer Hardware Engineer,1,Role,Engineering
Computer Software Engineer,1,Role,Engineering
Construction Engineer,1,Role,Engineering
Contract Engineer,1,Role,Engineering
Controls Engineer,1,Role,Engineering
Cost Engineer,1,Role,Engineering
Design Engineer,1,Role,Engineering
Director of Engineering,1,Role,Engineering
Drafting Technician,1,Role,Engineering
Drilling Engineer,1,Role,Engineering
Electrical Design Engineer,1,Role,Engineering
Electrical Engineer,1,Role,Engineering
Electrical Field Engineer,1,Role,Engineering
Electro-Mechanical Engineer,1,Role,Engineering
Electronics Engineer (non-computer),1,Role,Engineering
Engineering Aide,1,Role,Engineering
Engineering Clerk,1,Role,Engineering
Engineering Executive,1,Role,Engineering
Engineering Manager,1,Role,Engineering
Engineering Secretary,1,Role,Engineering
Engineering Technician,1,Role,Engineering
Entry Level Engineer,1,Role,Engineering
Environmental Engineer,1,Role,Engineering
Environmental Compliance Engineer,1,Role,Engineering
Environmental Health Safety Engineer,1,Role,Engineering
Equipment Engineer,1,Role,Engineering
E/M Engineer,1,Role,Engineering
Facilities Engineer,1,Role,Engineering
Field Service Engineer,1,Role,Engineering
